Question,variable,choices/options,Results(mean/percentage),n_unweighted,population,subset_1_name,subset_1_val,select_type,level
In which region does the interview take place?,region,Tigray,1,678,refugee,,,select_one,Household
In which zone does the interview take place?,zone,ET0102,1,676,refugee,,,select_one,Household
In which zone does the interview take place?,zone,ET0105,0,2,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010207,0.07,49,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010209,0.92,627,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010501,0,1,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010504,0,1,refugee,,,select_one,Household
Are you the head of the household?,hoh,no,0.21,142,refugee,,,select_one,Household
Are you the head of the household?,hoh,yes,0.79,547,refugee,,,select_one,Household
What is the age of the respondent?,hh_age,hh_age,46.37,547,refugee,,,integer,Household
What is the age of the household head?,hoh_no,hoh_no,48.06,142,refugee,,,integer,Household
What is the gender of the respondent?,hoh_gender,female,0.48,263,refugee,,,select_one,Household
What is the gender of the respondent?,hoh_gender,male,0.52,284,refugee,,,select_one,Household
What is the gender of the household head?,hoh_no_gender,female,0.07,10,refugee,,,select_one,Household
What is the gender of the household head?,hoh_no_gender,male,0.93,132,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,divorced,0.11,60,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,married,0.57,314,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,separated,0.06,33,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,single,0.1,57,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,widowed,0.15,83,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,divorced,0.01,1,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,married,0.97,138,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,single,0.01,2,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,widowed,0.01,1,refugee,,,select_one,Household
Do you have any formal education?,hh_education,no,0.49,266,refugee,,,select_one,Household
Do you have any formal education?,hh_education,yes,0.51,281,refugee,,,select_one,Household
What is your occupation?,hh_occupation,farmer,0.54,372,refugee,,,select_one,Household
What is your occupation?,hh_occupation,govt_worker,0.02,11,refugee,,,select_one,Household
What is your occupation?,hh_occupation,health_worker,0,2,refugee,,,select_one,Household
What is your occupation?,hh_occupation,labourer,0.1,69,refugee,,,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.24,167,refugee,,,select_one,Household
What is your occupation?,hh_occupation,private_business,0,1,refugee,,,select_one,Household
What is your occupation?,hh_occupation,religious_leader,0.01,5,refugee,,,select_one,Household
What is your occupation?,hh_occupation,small_shop,0.07,47,refugee,,,select_one,Household
What is your occupation?,hh_occupation,teacher,0.02,11,refugee,,,select_one,Household
What is your occupation?,hh_occupation,trader,0,2,refugee,,,select_one,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,4.19,689,refugee,,,integer,Household
What is the displacement status of your household?,hh_situation,host,0.85,587,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,idp,0.14,96,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,none,0,1,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,returnee,0.01,5,refugee,,,select_one,Household
What is your region of origin?,hh_region,ET01,1,96,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0101,0.05,5,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0102,0.1,10,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0104,0.01,1,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0105,0.83,80,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010101,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010102,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010106,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010107,0.02,2,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010209,0.09,9,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010213,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010407,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010501,0.42,40,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010504,0.21,20,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010505,0.08,8,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010506,0.06,6,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010507,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010509,0.05,5,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,economic_opportunities,0.03,3,refugee,,,select_one,Household
