Question,variable,choices/options,Results(mean/percentage),n_unweighted,population,subset_1_name,subset_1_val,select_type,level
In which region does the interview take place?,region,Somali,1,202,refugee,,,select_one,Household
In which zone does the interview take place?,zone,ET0506,1,202,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET050608,1,202,refugee,,,select_one,Household
Are you the head of the household?,hoh,no,0.09,19,refugee,,,select_one,Household
Are you the head of the household?,hoh,yes,0.91,183,refugee,,,select_one,Household
What is the age of the respondent?,hh_age,hh_age,35.14,183,refugee,,,integer,Household
What is the age of the household head?,hoh_no,hoh_no,39.05,19,refugee,,,integer,Household
What is the gender of the respondent?,hoh_gender,female,0.73,134,refugee,,,select_one,Household
What is the gender of the respondent?,hoh_gender,male,0.27,49,refugee,,,select_one,Household
What is the gender of the household head?,hoh_no_gender,female,0.26,5,refugee,,,select_one,Household
What is the gender of the household head?,hoh_no_gender,male,0.74,14,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,divorced,0.02,4,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,married,0.92,169,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,separated,0.02,3,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,single,0.02,4,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,widowed,0.02,3,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,married,1,19,refugee,,,select_one,Household
Do you have any formal education?,hh_education,dwta,0.01,1,refugee,,,select_one,Household
Do you have any formal education?,hh_education,no,0.87,160,refugee,,,select_one,Household
Do you have any formal education?,hh_education,yes,0.12,22,refugee,,,select_one,Household
What is your occupation?,hh_occupation,farmer,0.42,84,refugee,,,select_one,Household
What is your occupation?,hh_occupation,govt_worker,0.01,3,refugee,,,select_one,Household
What is your occupation?,hh_occupation,labourer,0.33,66,refugee,,,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.23,46,refugee,,,select_one,Household
What is your occupation?,hh_occupation,small_shop,0,1,refugee,,,select_one,Household
What is your occupation?,hh_occupation,trader,0,1,refugee,,,select_one,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,4.49,202,refugee,,,integer,Household
What is the displacement status of your household?,hh_situation,hh_host_idp,0,1,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,hh_host_returnee,0,1,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,host,0.99,200,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,dwta,0.5,1,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,security,0.5,1,refugee,,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,no,0.65,122,refugee,,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,yes,0.35,66,refugee,,,select_one,Household
